more than,"比...多, 超出预料, 很, 绰绰"
thousand,"num. 千
a. 成千的, 许多的
n. 许许多多"
kilometre,"n. 公里, 千米"
something,"pron. 某事, 某物"
million,"n. 百万, 无数
num. 百万"
map,"n. 地图, 天体图, 映像
vt. 映射, 绘制...地图, 计划
"
right,"n. 权利, 右边, 正义, 右派, 公正
a. 正确的, 对的, 恰当的, 正常的, 正直的, 正面的, 右方的
adv. 正确地, 以有利结果, 一直, 直接, 向右
vt. 扶直, 整理, 纠正, 伸冤, 使昭雪
vi. 恢复平衡
"
country,"n. 国家, 乡村, 地区, 故乡
a. 乡下的, 农村的
"
dancing,"n. 舞蹈
"
Chinatown,[网络] 中国城；唐人街；牛车水
sometimes,"adv. 有时, 时常, 往往"
shop,"n. 商店, 工厂, 车间
vi. 购物, 到处寻找
vt. 选购"
then,"adv. 然后, 当时
conj. 然后, 当时
n. 那时"
ah,"interj. 啊, 哈"
strong,"a. 强壮的, 坚固的, 坚强的, 强烈的, 有力的, 优良的
adv. 强劲地, 有力地, 猛烈地"
collect,"v. 收集, 聚集, 集中, 搜集
a. 由收到者付款的
adv. 由收到者付款地"
stamp,"n. 印, 邮票, 打印器, 戳子, 图章, 印花税票, 标志, 特征, 类型, 跺脚
vt. 盖章于, 顿足, 贴上邮票, 铭刻, 捣碎, 扑灭
vi. 捣碎, 跺脚"
hobby,"n. 嗜好, 癖好, 爱好"
doll,"n. 洋娃娃, 无头脑的美丽女人"
bicycle,n. 自行车
Thanksgiving,n. 感谢
Thanksgiving Day,感恩节
flag,"n. 标志, 旗标, 旗子, 信号旗, 菖蒲
vt. 悬旗, 打旗号, 铺石板
vi. 无力地下垂
"
Flag Day,"n. （英国的）旗日, 公益事业募捐日"
fly,"n. 苍蝇, 两翼昆虫, 飞行
vi. 飞, 飞翔, 飘扬, 逃走
vt. 飞, 飞越, 使飘扬, 逃出
a. 敏捷的"
special,"n. 专辑, 专车, 号外, 特别的东西, 负有特别任务的人员
a. 特别的, 专门的, 特殊的, 额外的, 附加的, 特别亲密的"
meal,"n. 一餐, 膳食, 粗粉
vi. 进餐"
sound,"n. 声音, 语音, 吵闹, 声调, 听力范围, 探条, 海峡
a. 健全的, 可靠的, 合理的, 健康的, 彻底的, 资金充实的
adv. 彻底地, 充分地
vi. 发出声音, 回响, 测深, 试探, 听起来
vt. 使发声, 宣告, 听诊, 测...深, 试探
"
football,"n. 足球, 橄榄球"
moon cake,月饼(中国食品)
the Mid-Autumn Festival,[网络] 中秋节
the Dragon Boat Festival, 端午节（端午节为每年农历五月初五，本来是夏季的一个驱除瘟疫的节日，后来楚国诗人屈原于端午节投江自尽，就变成纪念屈原的节日。端午节的习俗有吃粽子、赛龙舟、挂菖蒲、蒿草、艾叶、薰苍术、白芷，喝雄黄酒等）; 端节
race,"n. 种族, 人种, 赛跑, 比赛, 急流, 人类, 同道, 姜根
vi. 赛跑, 竞赛, 疾走
vt. 与...赛跑, 使疾走, 使猛转
"
lantern,"n. 灯笼, 提灯, 航标灯
vt. 装上提灯"
the Lantern Festival, 元宵节
hang,"n. 悬挂, 诀窍, 意义
vt. 悬挂, 附着, 装饰, 垂下, 踌躇, 绞死, 使悬而未决
vi. 悬着, 垂下, 被绞死, 悬而不决"
pen friend,n. 笔友
Pleased to meet you!,[网络] 很高兴见到你；很高兴认识你；见到你很高兴
address,"n. 住址, 演说, 举止, 灵巧, 求爱
vt. 发表(演说或讲话), 对付, 写地址
"
French,"n. 法国人, 法文, 法式
a. 法国的, 法国人的, 法语的"
age,"n. 年龄, 老年, 成年, 寿命, 时代, 时期
v. 变老, 成熟"
story,"n. 故事, 小说, 传奇, 描述, 阅历, 经历, 层"
candy,"n. 糖果, 冰糖
vt. 用糖煮, 使结晶为砂糖
vi. 结晶为砂糖"
world,"n. 世界, 地球, 宇宙, 万物, 世人, 人间, 领域, 世事, 世故, 社会生活, 大量
"
often,"adv. 时常, 常常"
difficult,a. 困难的
knife,"n. 小刀, 匕首
vt. 切割, 伤害, 切, 戳
vi. 劈开, 穿过"
fork,"n. 叉子, 叉状物, 分岔
vi. 分支, 分歧
vt. 做成叉形, 叉起
"
chopsticks,n. 筷子
Japanese,"n. 日本人, 日语
a. 日本的, 日语的"
believe,v. 相信
snake,"n. 蛇, 阴险的人
vi. 曲折行进
vt. 迂回, 拉, 急抽"
DVD,abbr. 数字化视频光盘（Digital Video Disk）
together,"adv. 一起, 共同, 彼此"
lucky,"a. 幸运的, 吉祥的, 好运的, 侥幸的"
bamboo,"n. 竹子
"
its,pron. 它的
body,"n. 身体, 人, 尸体, 主要部分, 团体
vt. 赋以形体
"
come out of,由...产生
flute,"n. 笛, 横笛, 凹槽
vi. 吹笛子
vt. 用长笛奏, 刻凹槽于"
get,"vt. 得到, 获得, 变成, 使得, 收获, 接通, 抓住, 染上
vi. 到达, 成为, 变得
n. (网球等)救球, 生殖, 幼兽
"
frightened,"a. 受惊吓的, 受惊的, (非正式)害怕...的"
long ago,很久以前
I'd love to,无
not really,[网络] 也不是；不完全是；不怎么好
stop,"n. 停止, 车站, 逗留, 填塞, 障碍, (风琴的)音栓
vi. 停止, 被塞住
vt. 塞住, 堵塞, 阻止, 击落, 停止, 终止, 断绝"
clean,"a. 干净的, 清白的, 简洁的
adv. 清洁地, 完全地
vt. 清理, 使干净, 出空
vi. 被搞干净
n. 打扫"
camera,"n. 照相机, 摄影机, 密谈室, 暗箱
"
show,"n. 显示, 表现, 展览, 卖弄, 炫耀, 外观, 演出, 洋相
vt. 表示, 显示, 展现, 陈列, 演出, 表明, 指出, 带领
vi. 露面, 显现, 演出
"
never,"adv. 从不, 决不, 不曾
"
around,"prep. 包围, 在...周围, 四处
adv. 兜着圈子, 在附近, 到处"
all around,周围
member state,"[法] 会员国, 成员国"
inside,"n. 内部, 内脏, 内幕
a. 内部的, 秘密的, 户内的
adv. 在里面
prep. 在...之内"
should,"aux. 应该, 将要"
line,"n. 列, 线, 绳, 电线, 线路, 路线, 航线, 作业线, 界线, 战线, 外形, 排, 家系
vt. 排成一行, 顺...排列, 划线于, 加衬里, 使有线条, 使起皱纹
vi. 排队
"
stand in line,"站队, 排齐"
close,"n. 结束, 完结
a. 靠近的, 亲近的, 亲密的, 严密的, 关闭的, 狭窄的, 秘密的
vt. 关, 结束, 使靠近, 封闭, 使接近
vi. 关闭, 结束, 靠近
adv. 接近地, 紧密地
"
librarian,"n. 图书馆员, 图书管理员
"
rule,"n. 规则, 统治, 控制, 支配, 规律, 标准, 章程, 破折号, 铅线
vt. 规定, 统治, 管理, 控制, 支配, 裁决
vi. 统治, 管辖, 裁定
"
quiet,"n. 安静, 闲适, 平静
a. 安静的, 静止的, 寂静的, 朴素的, 从容的, 暗中的
vi. 平静下来
vt. 使平静, 使平息, 使安心, 安慰"
problem,"n. 问题, 难题
a. 成问题的, 难处理的"
No problem., 不麻烦;  没什么;  没事儿; 非常容易
cross,"n. 十字架, 十字架形物件, 交叉, 十字标, 交叉路, 磨难, 杂交
a. 生气的, 交叉的, 相反的
v. 交叉, 横过, 越过
"
